"feeSat","seed","fundTxid","spendTxid","artifact"
"250","1","6c9d955928bba12649ad5484b47506372b755993307a64249b1721202749e451","a0762c0aa163895637910c7a7c4b795853b60df24e8b425c8be86494f053916d","artifacts\onchain\signet\fee_profiles\fee_250_seed_1.json"
"250","2","93b43d4b6d90b34fc9c27e429999c82825ffab8dc0e293b28a032cf99051a5f2","a72a4d4a4bb6f7e07111c13cf5e6c4cc5f3e69967bd2cf4478ce5f8596a5cd68","artifacts\onchain\signet\fee_profiles\fee_250_seed_2.json"
"250","3","df916094f7fead25f4b6ca42e2322e6bee3ba742f561740e990bdb79eeb29fc3","dd70dbc10f17e5913d346f76df2adb2522bf6fb8707177b9b7b4cf222d3e4e89","artifacts\onchain\signet\fee_profiles\fee_250_seed_3.json"
"500","1","5d1be5efff379d7d3456de298584849262fa3be3f1b85f7f22c945961623e985","45d39c0fd98a9ce3d418aec34528fa9b4b961b719c42155c38edeb2f814161d1","artifacts\onchain\signet\fee_profiles\fee_500_seed_1.json"
"500","2","30c67559ad2cd796a019097f975065e742ad75bced414dd1e53168cde1ded819","d30d3194c88154d2d3ef8d915a763b16cb0f7752a280d0b2e99c6edc2788dadc","artifacts\onchain\signet\fee_profiles\fee_500_seed_2.json"
"500","3","9deda1b8d8b5464ba77d3a884f8de37feb34257d07199d64e32d9053de27b978","03cde1335dc03481002484c06332279b0d2f49eb96e56c5db408cbc1ad26f173","artifacts\onchain\signet\fee_profiles\fee_500_seed_3.json"
"1000","1","e02e38bd73e058f88d8703ce28f65b0dca2fa6ff733db6b93a1d12b949769f51","22a5a4606c5e6ecdc579c9fd2d1719eef0a08a1cff749d6725fd8d15b6e8c687","artifacts\onchain\signet\fee_profiles\fee_1000_seed_1.json"
"1000","2","da3a988a3defeb91f637e202e8a357efa50176cbf94acb3ee24e0c3cefd88427","d2abcc3cc8e938b55624a5b65918ca6dbc415a7b7ede803c1244ba9f792a46da","artifacts\onchain\signet\fee_profiles\fee_1000_seed_2.json"
"1000","3","8b5c5b1a02fb28c26d40df87c468611147ab67b8fc7dfc226476c9631b38ce63","b3df67f0f32db1af8e0a59cb2f7a1ae5a08cf08dcddf70200433a7d43f93184c","artifacts\onchain\signet\fee_profiles\fee_1000_seed_3.json"
"2500","1","7dbf08f41aca80bb0f7642bc1f1d05300f363d68ec772cd92682cd8ff161fbf1","2d293c9402d6158ddecd38178ea025c915b80ffa41c1ada421197daa59715b49","artifacts\onchain\signet\fee_profiles\fee_2500_seed_1.json"
"2500","2","3c489841f968906faaf7f97e7ae037d24aa8f80f596fd13c98b9051c7b32b8d0","4b43ef082a5ba48543d28f1b50d56f63aafa04e7c1c3c133c4945e29814d93dc","artifacts\onchain\signet\fee_profiles\fee_2500_seed_2.json"
"2500","3","545d983090a6d28f96f26d5680dbf08d3f3e3b305b748fdfb26b9f3ac0377ce5","4ee99f402370a839c9ce370493e53fec64cbb969afe9582055c66e148b68137c","artifacts\onchain\signet\fee_profiles\fee_2500_seed_3.json"
"5000","1","f536cd50c18e78980f9f2694037cd008714eecda3da214090aafa5b65f17b363","ae4518e749b312b8af2debe34805bbd868737c95cb562baf0d79c15a7ee402a1","artifacts\onchain\signet\fee_profiles\fee_5000_seed_1.json"
"5000","2","bcdb633dfe6fa59c783e5d7f74bda356d0c53d445c2996fa7c8d22e0299bac88","41818303656814cbbbf2a439d1b8cdebd42c2eb7349d9d137aa387d8084399f8","artifacts\onchain\signet\fee_profiles\fee_5000_seed_2.json"
"5000","3","87b8ce5d47887a14c321e68a56a9b538f774a4136f33b95506d9f9e000fcf661","2d81327f2182b4bebcaf53d5934102a4d3d46d181d2a347f3d6ba900734403c5","artifacts\onchain\signet\fee_profiles\fee_5000_seed_3.json"
